,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
263,JAKARTA PUSAT,12,2022,2022-12-01,106.84999999999997,-6.200000000000003,836,40.74392069360502,58.34147934535827,81.36970411959803
24,JAKARTA SELATAN,1,2018,2018-01-01,106.8083333333333,-6.283333333333336,563,34.8979248466584,49.99811030377944,69.59266816631919
25,JAKARTA SELATAN,2,2018,2018-02-01,106.8083333333333,-6.283333333333336,428,41.93688245680659,59.89194017027173,76.98403383226044
26,JAKARTA SELATAN,3,2018,2018-03-01,106.8083333333333,-6.283333333333336,501,48.28605945947635,68.66073380962183,96.64486620619716
27,JAKARTA SELATAN,4,2018,2018-04-01,106.8083333333333,-6.283333333333336,537,66.37405184485488,94.19326857261736,117.06301847485663
28,JAKARTA SELATAN,5,2018,2018-05-01,106.8083333333333,-6.283333333333336,505,73.86386411154355,104.95493758039994,130.03991982257324
29,JAKARTA SELATAN,6,2018,2018-06-01,106.8083333333333,-6.283333333333336,407,74.50232950567766,105.8917105408372,126.84539051097607
30,JAKARTA SELATAN,7,2018,2018-07-01,106.8083333333333,-6.283333333333336,634,74.64446264797057,106.1497037873568,129.89281703708988
31,JAKARTA SELATAN,8,2018,2018-08-01,106.8083333333333,-6.283333333333336,567,60.73135197946991,86.29334659677336,104.42627638253268
32,JAKARTA SELATAN,9,2018,2018-09-01,106.8083333333333,-6.283333333333336,477,63.18135163077298,89.24362685143997,101.64420828632711
33,JAKARTA SELATAN,10,2018,2018-10-01,106.8083333333333,-6.283333333333336,553,62.742290170744106,88.79238532581293,93.3724853613437
34,JAKARTA SELATAN,11,2018,2018-11-01,106.8083333333333,-6.283333333333336,508,61.56208265939446,87.39723528217188,98.8610215683492
35,JAKARTA SELATAN,12,2018,2018-12-01,106.8083333333333,-6.283333333333336,436,44.5944151679827,63.547329679872746,83.24436966727312
84,JAKARTA SELATAN,1,2019,2019-01-01,106.8083333333333,-6.283333333333336,702,43.010489846216586,61.35827103194252,81.17291608095798
85,JAKARTA SELATAN,2,2019,2019-02-01,106.8083333333333,-6.283333333333336,663,50.278382366129016,71.35825614845747,83.53934675010757
86,JAKARTA SELATAN,3,2019,2019-03-01,106.8083333333333,-6.283333333333336,613,49.422489515708186,70.20562363063048,101.66192125966133
87,JAKARTA SELATAN,4,2019,2019-04-01,106.8083333333333,-6.283333333333336,715,60.268036428112914,85.03450699631173,117.6663852773521
