,KABKOT,month,year,time,longitude,latitude,tb,rh,tp
144,JAKARTA SELATAN,1,2022,2022-01-01,106.8083333333333,-6.283333333333336,939,83.5532328287761,6.133702614654962
145,JAKARTA SELATAN,2,2022,2022-02-01,106.8083333333333,-6.283333333333336,517,84.03237406412761,7.170308536539367
146,JAKARTA SELATAN,3,2022,2022-03-01,106.8083333333333,-6.283333333333336,640,82.91973876953126,5.728620787461448
147,JAKARTA SELATAN,4,2022,2022-04-01,106.8083333333333,-6.283333333333336,686,82.63916524251306,6.754099080959899
148,JAKARTA SELATAN,5,2022,2022-05-01,106.8083333333333,-6.283333333333336,609,83.93674723307295,4.537256589780256
149,JAKARTA SELATAN,6,2022,2022-06-01,106.8083333333333,-6.283333333333336,782,84.11900329589845,5.11871945733827
150,JAKARTA SELATAN,7,2022,2022-07-01,106.8083333333333,-6.283333333333336,742,81.70036824544287,5.238950190445102
151,JAKARTA SELATAN,8,2022,2022-08-01,106.8083333333333,-6.283333333333336,776,80.16188049316426,2.867935877293434
152,JAKARTA SELATAN,9,2022,2022-09-01,106.8083333333333,-6.283333333333336,885,81.0453389485679,5.510060489177928
153,JAKARTA SELATAN,10,2022,2022-10-01,106.8083333333333,-6.283333333333336,813,83.17477416992186,9.893112132946586
154,JAKARTA SELATAN,11,2022,2022-11-01,106.8083333333333,-6.283333333333336,822,82.52971903483062,6.69994158670293
155,JAKARTA SELATAN,12,2022,2022-12-01,106.8083333333333,-6.283333333333336,873,83.51971435546874,8.4693692624567
36,JAKARTA TIMUR,1,2020,2020-01-01,106.90999999999995,-6.2600000000000025,885,86.3512670898437,16.167215347289517
37,JAKARTA TIMUR,2,2020,2020-02-01,106.90999999999995,-6.2600000000000025,812,86.96668945312496,15.22689788043454
38,JAKARTA TIMUR,3,2020,2020-03-01,106.90999999999995,-6.2600000000000025,945,84.92820556640606,11.459258146584062
39,JAKARTA TIMUR,4,2020,2020-04-01,106.90999999999995,-6.2600000000000025,621,84.87039428710939,8.325105130672398
40,JAKARTA TIMUR,5,2020,2020-05-01,106.90999999999995,-6.2600000000000025,447,83.91896606445306,6.470775246619982
41,JAKARTA TIMUR,6,2020,2020-06-01,106.90999999999995,-6.2600000000000025,596,81.07438842773433,1.942249692976499
42,JAKARTA TIMUR,7,2020,2020-07-01,106.90999999999995,-6.2600000000000025,643,77.72401489257796,1.522086508572148
43,JAKARTA TIMUR,8,2020,2020-08-01,106.90999999999995,-6.2600000000000025,509,75.23275512695284,1.6052805930377274
44,JAKARTA TIMUR,9,2020,2020-09-01,106.90999999999995,-6.2600000000000025,544,74.96572143554675,2.2886404916644443
45,JAKARTA TIMUR,10,2020,2020-10-01,106.90999999999995,-6.2600000000000025,514,79.2566174316404,7.478732630610494
46,JAKARTA TIMUR,11,2020,2020-11-01,106.90999999999995,-6.2600000000000025,529,81.8781970214842,6.641908235847561
47,JAKARTA TIMUR,12,2020,2020-12-01,106.90999999999995,-6.2600000000000025,434,83.2204028320313,9.701917909085711
96,JAKARTA TIMUR,1,2021,2021-01-01,106.90999999999995,-6.2600000000000025,521,86.37867797851555,11.346333175897453
97,JAKARTA TIMUR,2,2021,2021-02-01,106.90999999999995,-6.2600000000000025,495,87.24236450195303,14.170351058244345
98,JAKARTA TIMUR,3,2021,2021-03-01,106.90999999999995,-6.2600000000000025,709,83.26199584960932,9.007793657481432
99,JAKARTA TIMUR,4,2021,2021-04-01,106.90999999999995,-6.2600000000000025,798,81.6902404785157,5.7875642590223375
100,JAKARTA TIMUR,5,2021,2021-05-01,106.90999999999995,-6.2600000000000025,698,81.54355468750003,3.864932678639976
101,JAKARTA TIMUR,6,2021,2021-06-01,106.90999999999995,-6.2600000000000025,826,84.04538940429688,5.081139743328026
102,JAKARTA TIMUR,7,2021,2021-07-01,106.90999999999995,-6.2600000000000025,417,78.23474853515614,1.6634921953081612
103,JAKARTA TIMUR,8,2021,2021-08-01,106.90999999999995,-6.2600000000000025,664,79.0052270507814,5.339120492339334
104,JAKARTA TIMUR,9,2021,2021-09-01,106.90999999999995,-6.2600000000000025,878,79.22582885742206,5.436276994645757
105,JAKARTA TIMUR,10,2021,2021-10-01,106.90999999999995,-6.2600000000000025,877,80.16790405273429,5.080208621918997
106,JAKARTA TIMUR,11,2021,2021-11-01,106.90999999999995,-6.2600000000000025,896,82.23363891601548,10.159353345632098
107,JAKARTA TIMUR,12,2021,2021-12-01,106.90999999999995,-6.2600000000000025,852,83.898348388672,8.295285508036422
156,JAKARTA TIMUR,1,2022,2022-01-01,106.90999999999995,-6.2600000000000025,1073,83.68485595703123,6.538067281246006
157,JAKARTA TIMUR,2,2022,2022-02-01,106.90999999999995,-6.2600000000000025,676,83.99795532226558,7.414845861494392
158,JAKARTA TIMUR,3,2022,2022-03-01,106.90999999999995,-6.2600000000000025,949,83.0044519042969,6.047833338379656
159,JAKARTA TIMUR,4,2022,2022-04-01,106.90999999999995,-6.2600000000000025,948,82.55715820312508,6.838584206998251
